 +-----------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                     |   Total  |       Mean      |   rms   |  min |   max  |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DpPp/Particles                         |        3 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DpPp/decayVertices                     |        3 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_Dstar0P/Particle2VertexRelations       |        9 |       9         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_Dstar0P/Particles                      |        1 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_Dstar0P/decayVertices                  |        1 |       1         |         |      |        |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DzP/Particle2VertexRelations           |       26 |     8.7+-1.2    | 2.1     |    6 | 11     |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DzP/Particles                          |        4 |     1.3+-0.3    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DzP/decayVertices                      |        4 |     1.3+-0.3    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DzPWS/Particle2VertexRelations         |       24 |     8.0+-0.8    | 1.4     |    6 | 9      |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DzPWS/Particles                        |        4 |     1.3+-0.3    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopy_DzPWS/decayVertices                    |        4 |     1.3+-0.3    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/CharmedAndCharmedStrangeSpectroscopypi0/Particles                           |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D+2HHHSubPIDSelBeauty2Charm/Particles                                       |       24 |     4.8+-1.6    | 3.6     |    3 | 12     |
 | *AllStreams/Phys/D-2HHHSubPIDSelBeauty2Charm/Particles                                       |       42 |     5.2+-1.2    | 3.3     |    3 | 12     |
 | *AllStreams/Phys/D02HHForPromptCharm/Particle2VertexRelations                                |       48 |     4.8+-0.7    | 2.4     |    3 | 10     |
 | *AllStreams/Phys/D02HHForPromptCharm/Particles                                               |       10 |       1         |         |      |        |
 | *AllStreams/Phys/D02HHForPromptCharm/decayVertices                                           |       10 |       1         |         |      |        |
 | *AllStreams/Phys/D02K3PiD0ForBXXLine/Particle2VertexRelations                                |       79 |     6.6+-0.5    | 1.9     |    5 | 11     |
 | *AllStreams/Phys/D02K3PiD0ForBXXLine/Particles                                               |       13 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/D02K3PiD0ForBXXLine/decayVertices                                           |       13 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/D02KPiD0ForBXXLine/Particle2VertexRelations                                 |        9 |       3         |         |      |        |
 | *AllStreams/Phys/D02KPiD0ForBXXLine/Particles                                                |        3 |       1         |         |      |        |
 | *AllStreams/Phys/D02KPiD0ForBXXLine/decayVertices                                            |        3 |       1         |         |      |        |
 | *AllStreams/Phys/D02KPiPi0_R/Particle2VertexRelations                                        |       51 |     6.4+-0.4    | 1.0     |    6 | 9      |
 | *AllStreams/Phys/D02KPiPi0_R/Particles                                                       |        9 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/D02KPiPi0_R/decayVertices                                                   |        9 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/D02KSKSLLLine/Particle2VertexRelations                                      |        7 |       7         |         |      |        |
 | *AllStreams/Phys/D02KSKSLLLine/Particles                                                     |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D02KSKSLLLine/decayVertices                                                 |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D02Kpipi0ForDstarD02Kpipi0/Particles                                        |       16 |     1.3+-0.1    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/D02Kpipi0ForDstarD02Kpipi0/decayVertices                                    |       28 |     1.3+-0.1    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/D02hhhhForDstarPromptWithD02HHHH/Particles                                  |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D02hhhhForDstarPromptWithD02HHHH/decayVertices                              |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D02hhhhForDstarPromptWithD02HHHHNoPID/Particles                             |        3 |     1.5+-0.4    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/D02hhhhForDstarPromptWithD02HHHHNoPID/decayVertices                         |        3 |     1.5+-0.4    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/D02hhhhForDstarPromptWithD02HHMuMuControl/Particles                         |       87 |     2.4+-0.3    | 1.7     |    1 | 7      |
 | *AllStreams/Phys/D02hhhhForDstarPromptWithD02HHMuMuControl/decayVertices                     |       87 |     2.4+-0.3    | 1.7     |    1 | 7      |
 | *AllStreams/Phys/D0HMuNuForCharmForVubPrescaled/Particles                                    |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D0HMuNuForCharmForVubPrescaled/decayVertices                                |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D0WSForDstarD02Kpipi0/Particles                                             |       13 |     1.3+-0.1    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/D2HHHCFPIDBeauty2CharmFilter/Particles                                      |       22 |     2.0+-0.5    | 1.8     |    1 | 6      |
 | *AllStreams/Phys/D2HHHCFPIDBeauty2CharmFilter/decayVertices                                  |       22 |     2.0+-0.5    | 1.8     |    1 | 6      |
 | *AllStreams/Phys/D2HHHHBeauty2CharmFilter/Particles                                          |        3 |       3         |         |      |        |
 | *AllStreams/Phys/D2HHHHBeauty2CharmFilter/decayVertices                                      |        3 |       3         |         |      |        |
 | *AllStreams/Phys/D2HHHHSubPIDSelBeauty2Charm/Particles                                       |       12 |      12         |         |      |        |
 | *AllStreams/Phys/D2KS0HBachelorKaonsForD2KS0H/Particles                                      |       22 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HBachelorPionsForD2KS0H/Particles                                      |       11 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HKS0DDForD2KS0H/Particles                                              |       32 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HKS0DDForD2KS0H/decayVertices                                          |       32 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HKS0LLForD2KS0H/Particles                                              |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HKS0LLForD2KS0H/decayVertices                                          |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HKaonLine/Particle2VertexRelations                                     |        9 |       9         |         |      |        |
 | *AllStreams/Phys/D2KS0HKaonLine/Particles                                                    |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HKaonLine/decayVertices                                                |        1 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HKaonLineDD/Particle2VertexRelations                                   |      127 |     6.0+-0.4    | 1.8     |    5 | 10     |
 | *AllStreams/Phys/D2KS0HKaonLineDD/Particles                                                  |       21 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HKaonLineDD/decayVertices                                              |       21 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HPionLineDD/Particle2VertexRelations                                   |       65 |     5.9+-0.2    | 0.8     |    5 | 7      |
 | *AllStreams/Phys/D2KS0HPionLineDD/Particles                                                  |       11 |       1         |         |      |        |
 | *AllStreams/Phys/D2KS0HPionLineDD/decayVertices                                              |       11 |       1         |         |      |        |
