 +------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                |   Total  |       Mean      |   rms   |  min |   max  |
 | *Charm/Phys/D02PiPi_EE_ConjForDstarPromptWithD02HHLL/Particles                          |       84 |     1.7+-0.2    | 1.2     |    1 | 7      |
 | *Charm/Phys/D02PiPi_EE_ForDstarPromptWithD02HHLL/Particles                              |       81 |     1.9+-0.2    | 1.4     |    1 | 8      |
 | *Charm/Phys/D02PiPi_EE_ForDstarPromptWithD02HHLL/decayVertices                          |      137 |     1.8+-0.2    | 1.4     |    1 | 8      |
 | *Charm/Phys/D02PiPi_EMu_ConjForDstarPromptWithD02HHLL/Particles                         |       28 |     1.5+-0.2    | 0.8     |    1 | 4      |
 | *Charm/Phys/D02PiPi_EMu_ForDstarPromptWithD02HHLL/Particles                             |       32 |     1.5+-0.2    | 1.1     |    1 | 6      |
 | *Charm/Phys/D02PiPi_EMu_ForDstarPromptWithD02HHLL/decayVertices                         |       50 |     1.5+-0.2    | 1.0     |    1 | 6      |
 | *Charm/Phys/D02PiPi_MuE_ConjForDstarPromptWithD02HHLL/Particles                         |       29 |     1.7+-0.2    | 0.8     |    1 | 4      |
 | *Charm/Phys/D02PiPi_MuE_ForDstarPromptWithD02HHLL/Particles                             |       24 |     1.8+-0.3    | 1.2     |    1 | 5      |
 | *Charm/Phys/D02PiPi_MuE_ForDstarPromptWithD02HHLL/decayVertices                         |       46 |     1.8+-0.2    | 1.1     |    1 | 5      |
 | *Charm/Phys/D02pipiForPromptCharm/Particle2VertexRelations                              |      351 |     3.5+-0.1    | 1.1     |    3 | 9      |
 | *Charm/Phys/D02pipiForPromptCharm/Particles                                             |      103 |     1.0+-0.0    | 0.1     |    1 | 2      |
